Timestamp,Source Name,Results Path, Results Count, Collated Results Path, Collated Results Count
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-10.txt,74,sources/behindmlm/behindmlm.txt,333
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-11.txt,80,sources/behindmlm/behindmlm.txt,412
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2024-12.txt,95,sources/behindmlm/behindmlm.txt,506
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2025-01.txt,102,sources/behindmlm/behindmlm.txt,608
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2025-02.txt,92,sources/behindmlm/behindmlm.txt,700
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2025-03.txt,90,sources/behindmlm/behindmlm.txt,789
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2025-04.txt,101,sources/behindmlm/behindmlm.txt,890
12:04:35 01-05-25,BehindMLM,sources/behindmlm/behindmlm_2025-05.txt,102,sources/behindmlm/behindmlm.txt,893
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-06.txt,500,sources/artists_against_419/artists_against_419.txt,500
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-07.txt,500,sources/artists_against_419/artists_against_419.txt,1000
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-08.txt,500,sources/artists_against_419/artists_against_419.txt,1500
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-09.txt,500,sources/artists_against_419/artists_against_419.txt,2000
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-10.txt,500,sources/artists_against_419/artists_against_419.txt,2500
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-11.txt,500,sources/artists_against_419/artists_against_419.txt,3000
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2024-12.txt,500,sources/artists_against_419/artists_against_419.txt,3500
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-01.txt,500,sources/artists_against_419/artists_against_419.txt,4000
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-02.txt,500,sources/artists_against_419/artists_against_419.txt,4000
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-03.txt,500,sources/artists_against_419/artists_against_419.txt,4498
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-04.txt,500,sources/artists_against_419/artists_against_419.txt,4998
12:06:07 01-05-25,Artists Against 419,sources/artists_against_419/artists_against_419_2025-05.txt,500,sources/artists_against_419/artists_against_419.txt,5019
12:14:55 01-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-05.txt,167,sources/bugsfighter/bugsfighter.txt,167
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-06.txt,141,sources/bugsfighter/bugsfighter.txt,141
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-07.txt,128,sources/bugsfighter/bugsfighter.txt,266
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-08.txt,144,sources/bugsfighter/bugsfighter.txt,406
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-09.txt,178,sources/bugsfighter/bugsfighter.txt,579
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-10.txt,176,sources/bugsfighter/bugsfighter.txt,750
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-11.txt,174,sources/bugsfighter/bugsfighter.txt,919
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2024-12.txt,186,sources/bugsfighter/bugsfighter.txt,1098
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-01.txt,164,sources/bugsfighter/bugsfighter.txt,1255
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-02.txt,134,sources/bugsfighter/bugsfighter.txt,1386
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-03.txt,136,sources/bugsfighter/bugsfighter.txt,1519
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-04.txt,137,sources/bugsfighter/bugsfighter.txt,1650
13:17:58 02-05-25,BugsFighter,sources/bugsfighter/bugsfighter_2025-05.txt,167,sources/bugsfighter/bugsfighter.txt,1812
13:20:53 02-05-25,Česká Obchodní Inspekce,,0,sources/Česká_obchodní_inspekce/Česká_obchodní_inspekce.txt,0
13:21:59 02-05-25,Česká Obchodní Inspekce,sources/Česká_obchodní_inspekce/Česká_obchodní_inspekce_2025-05.txt,1136,sources/Česká_obchodní_inspekce/Česká_obchodní_inspekce.txt,1136
13:41:13 02-05-25,DFPI Crypto Scam Tracker,sources/dfpi_crypto_scam_tracker/dfpi_crypto_scam_tracker_2025-05.txt,524,sources/dfpi_crypto_scam_tracker/dfpi_crypto_scam_tracker.txt,524
